count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
2,12,12,"[['12', '23', '31']]",40,2,2885000,2886000,"['12', '23', '14', '24', '31', '34']","[1, 1, 0, 0]","[0, 1, 0, 1]","[1, 0, 0, 1, 0, 0]","[1.5940860215053758, 2.208294930875576, -0.8, -3.002380952380952]"
1,42,42,"[['12', '23', '31'], ['23', '34', '42']]",41,2,2887000,2887000,"['12', '23', '14', '42', '31', '34']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]","[1.594086021505376, 2.12258064516129, -0.8, -2.916666666666667]"
2,41,41,"[['12', '23', '31'], ['23', '34', '42']]",41,16,3190000,3192000,"['12', '23', '41', '42', '31', '34']","[0, 0, 1, 1]","[1, 0, 0, 1]","[0, 0, 1, 0, 0, 1]","[1.4029095509171412, 2.1225806451612907, -0.6095238095238096, -2.9159663865546217]"
9,14,14,"[['12', '23', '31'], ['23', '34', '42']]",41,2,3196000,3213000,"['12', '23', '14', '42', '31', '34']","[9, 0, 0, 0]","[0, 0, 0, 9]","[0, 0, 9, 0, 0, 0]","[1.7287014061207608, 2.12258064516129, -0.6095238095238091, -3.241758241758242]"
6,13,13,"[['23', '34', '42']]",39,2,3225000,3240000,"['12', '23', '14', '42', '13', '34']","[6, 0, 0, 0]","[0, 2, 2, 2]","[2, 0, 2, 0, 2, 0]","[2.2467532467532463, 1.9818181818181815, -0.9428571428571426, -3.2857142857142856]"
15,24,24,[],38,1,3344000,3462000,"['12', '23', '14', '24', '13', '34']","[14, 1, 0, 0]","[0, 11, 1, 3]","[11, 0, 2, 1, 1, 0]","[2.9414141414141417, 1.4633906633906637, -1.0539682539682538, -3.3508365508365507]"
11,21,21,[],38,7,3465000,3514000,"['21', '23', '14', '24', '13', '34']","[0, 9, 2, 0]","[5, 0, 3, 3]","[5, 3, 0, 1, 0, 2]","[2.7002267573696153, 2.0071056762786084, -1.0769230769230766, -3.6304093567251456]"
11,31,31,[],38,13,3516000,3970000,"['21', '23', '14', '24', '31', '34']","[0, 4, 7, 0]","[2, 0, 3, 6]","[0, 3, 0, 1, 2, 5]","[2.134570191713049, 2.2044740973312407, -0.36688311688311637, -3.9721611721611723]"
2,13,13,[],38,7,3972000,3974000,"['21', '23', '14', '24', '13', '34']","[1, 1, 0, 0]","[0, 0, 2, 0]","[0, 1, 0, 0, 1, 0]","[2.2557823129251706, 2.2485917443900636, -0.5322128851540615, -3.9721611721611723]"
6,41,41,"[['13', '34', '41']]",39,4,4038000,4160000,"['21', '23', '41', '24', '13', '34']","[0, 5, 0, 1]","[2, 0, 0, 4]","[1, 0, 1, 4, 0, 0]","[2.101505376344086, 2.376908344733242, -0.5322128851540615, -3.9462008359232663]"
5,43,43,[],38,14,4161000,4549000,"['21', '23', '41', '24', '13', '43']","[0, 3, 0, 2]","[0, 0, 5, 0]","[0, 3, 0, 0, 0, 2]","[2.101505376344086, 2.482790697674419, -1.0666666666666667, -3.517629407351838]"
2,14,14,[],38,8,4701000,4703000,"['21', '23', '14', '24', '13', '43']","[1, 1, 0, 0]","[0, 0, 0, 2]","[0, 0, 1, 1, 0, 0]","[2.121666666666667, 2.5018181818181824, -1.0666666666666664, -3.556818181818181]"
4,34,34,[],38,7,4796000,4802000,"['21', '23', '14', '24', '13', '34']","[0, 3, 1, 0]","[0, 0, 1, 3]","[0, 1, 0, 2, 0, 1]","[2.121666666666666, 2.565962732919254, -1.0364145658263306, -3.6512148337595907]"
1,41,41,"[['13', '34', '41']]",39,4,4803000,4803000,"['21', '23', '41', '24', '13', '34']","[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[2.019393939393939, 2.565962732919255, -1.0364145658263304, -3.548942106486863]"
53,31,31,[],38,19,4804000,5243000,"['21', '23', '41', '24', '31', '34']","[0, 8, 45, 0]","[12, 0, 2, 39]","[4, 2, 0, 2, 8, 37]","[0.7986531986531988, 2.8023349436392913, 0.6254428341384859, -4.226430976430977]"
103,32,32,[],38,21,5245000,5812000,"['21', '32', '41', '24', '31', '34']","[0, 13, 90, 0]","[48, 8, 0, 47]","[11, 8, 0, 2, 37, 45]","[-0.5658692185007979, 2.2606451612903227, 2.6963351683215864, -4.391111111111112]"
24,23,23,[],38,19,5826000,6133000,"['21', '23', '41', '24', '31', '34']","[0, 13, 11, 0]","[13, 0, 3, 8]","[7, 3, 0, 3, 6, 5]","[-0.7748917748917752, 2.582192625477864, 2.6323349852761613, -4.439635835862251]"
8,32,32,[],38,21,6160000,6241000,"['21', '32', '41', '24', '31', '34']","[0, 3, 5, 0]","[4, 2, 0, 2]","[1, 2, 0, 2, 3, 0]","[-0.8177667081776672, 2.4763525667635258, 2.8057498057498056, -4.464335664335664]"
2,23,23,[],38,19,6252000,6270000,"['21', '23', '41', '24', '31', '34']","[0, 2, 0, 0]","[0, 0, 1, 1]","[0, 1, 0, 1, 0, 0]","[-0.817766708177667, 2.527079917490877, 2.7667107667107667, -4.476023976023976]"
1,32,32,[],38,21,6276000,6276000,"['21', '32', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[-0.8177667081776667, 2.458801112369967, 2.8349895718316778, -4.476023976023976]"
1,23,23,[],38,19,6292000,6292000,"['21', '23', '41', '24', '31', '34']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]","[-0.8177667081776674, 2.4965878869988463, 2.7972027972027975, -4.476023976023976]"
4,32,32,[],38,21,6294000,6299000,"['21', '32', '41', '24', '31', '34']","[0, 3, 1, 0]","[0, 1, 0, 3]","[0, 1, 0, 3, 0, 0]","[-0.817766708177667, 2.4651729742280013, 2.861305361305362, -4.508711627355695]"
32,23,23,[],38,19,6300000,6606000,"['21', '23', '41', '24', '31', '34']","[0, 28, 4, 0]","[12, 0, 9, 11]","[10, 9, 0, 9, 2, 2]","[-1.0036724437858384, 2.9930863911829784, 2.602958164397835, -4.592372111794976]"
23,43,43,[],38,20,6608000,6875000,"['21', '23', '41', '24', '31', '43']","[0, 20, 1, 2]","[9, 0, 11, 3]","[8, 9, 0, 3, 1, 2]","[-1.1206474684735552, 3.3156178450010403, 2.348492420456438, -4.543462796983924]"
10,34,34,[],38,19,6879000,6938000,"['21', '23', '41', '24', '31', '34']","[0, 8, 2, 0]","[3, 0, 2, 5]","[3, 2, 0, 3, 0, 2]","[-1.1571216326072942, 3.40713053479011, 2.318050065876153, -4.568058968058968]"
1,32,32,[],38,21,6939000,6939000,"['21', '32', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[-1.1571216326072942, 3.3579502069212572, 2.3672303937450065, -4.568058968058969]"
15,23,23,[],38,19,6940000,7720000,"['21', '23', '41', '24', '31', '34']","[0, 14, 1, 0]","[3, 0, 5, 7]","[3, 5, 0, 6, 0, 1]","[-1.1913396628770896, 3.508138081849423, 2.289712637538725, -4.6065110565110565]"
3,12,12,"[['12', '23', '31'], ['12', '24', '41']]",41,11,7722000,7726000,"['12', '23', '41', '24', '31', '34']","[1, 2, 0, 0]","[0, 1, 0, 2]","[1, 0, 0, 2, 0, 0]","[-1.1614637950041675, 3.489237823732598, 2.2897126375387247, -4.617486666267155]"
1,42,42,"[['12', '23', '31'], ['23', '34', '42']]",41,16,7727000,7727000,"['12', '23', '41', '42', '31', '34']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]","[-1.1614637950041673, 3.4463345031331274, 2.2897126375387242, -4.5745833456676825]"
3,13,13,"[['23', '34', '42'], ['13', '34', '41']]",41,3,7730000,7927000,"['12', '23', '41', '42', '13', '34']","[1, 2, 0, 0]","[0, 0, 3, 0]","[0, 2, 0, 0, 1, 0]","[-1.110946196660482, 3.474855002241861, 2.2106745400863055, -4.574583345667683]"
4,24,24,"[['13', '34', '41'], ['12', '24', '41']]",41,20,7930000,8020000,"['12', '23', '41', '24', '13', '34']","[0, 4, 0, 0]","[0, 0, 0, 4]","[0, 0, 0, 4, 0, 0]","[-1.1109461966604826, 3.4970125981427067, 2.210674540086305, -4.596740941568528]"
4,14,14,[],38,1,8031000,8247000,"['12', '23', '14', '24', '13', '34']","[1, 1, 2, 0]","[0, 0, 1, 3]","[0, 1, 1, 0, 0, 2]","[-1.0895558223289317, 3.510652836846883, 2.20086113706737, -4.621958151585321]"
