count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
2,21,21,"[['13', '21', '32']]",11,3,116000,118000,"['21', '32', '13']","[0, 2, 0, 0]","[2, 0, 0, 0]","[2, 0, 0]","[0.5517241379310349, -0.05172413793103425, -0.4999999999999998, 0.0]"
1,23,23,[],10,7,127000,127000,"['21', '23', '13']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1, 0]","[0.5517241379310344, 0.24827586206896557, -0.7999999999999998, 0.0]"
3,32,32,"[['13', '21', '32']]",11,3,128000,132000,"['21', '32', '13']","[2, 0, 1, 0]","[0, 1, 2, 0]","[0, 1, 2]","[0.9517241379310346, -0.05172413793103425, -0.8999999999999999, 0.0]"
1,31,31,[],10,15,133000,133000,"['21', '32', '31']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1]","[0.5517241379310349, -0.05172413793103425, -0.4999999999999998, 0.0]"
3,12,12,[],10,9,139000,145000,"['12', '32', '31']","[3, 0, 0, 0]","[0, 3, 0, 0]","[3, 0, 0]","[0.6874999999999998, -0.1875, -0.5, 0.0]"
1,21,21,[],10,15,146000,146000,"['21', '32', '31']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0]","[0.6363636363636364, -0.13636363636363624, -0.5, 0.0]"
1,23,23,[],10,13,150000,150000,"['21', '23', '31']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1, 0]","[0.636363636363636, 0.07792207792207795, -0.7142857142857142, 0.0]"
4,12,12,"[['12', '23', '31']]",11,1,151000,164000,"['12', '23', '31']","[3, 1, 0, 0]","[0, 3, 1, 0]","[3, 1, 0]","[0.7500000000000001, 0.125, -0.875, 0.0]"
4,21,21,[],10,13,165000,175000,"['21', '23', '31']","[0, 3, 1, 0]","[4, 0, 0, 0]","[3, 0, 1]","[0.32967032967032983, 0.25961538461538525, -0.5892857142857142, 0.0]"
3,13,13,[],10,7,176000,180000,"['21', '23', '13']","[1, 2, 0, 0]","[1, 0, 2, 0]","[1, 1, 1]","[0.44999999999999973, 0.4249999999999998, -0.875, 0.0]"
1,32,32,"[['13', '21', '32']]",11,3,183000,183000,"['21', '32', '13']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0]","[0.44999999999999984, 0.22499999999999964, -0.6750000000000003, 0.0]"
1,12,12,[],10,3,187000,187000,"['12', '32', '13']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0]","[0.4847560975609757, 0.19024390243902456, -0.6749999999999998, 0.0]"
3,31,31,[],10,9,188000,191000,"['12', '32', '31']","[1, 0, 2, 0]","[2, 1, 0, 0]","[1, 0, 2]","[0.14285714285714302, 0.15714285714285736, -0.30000000000000004, 0.0]"
2,21,21,[],10,15,197000,201000,"['21', '32', '31']","[0, 1, 1, 0]","[1, 1, 0, 0]","[1, 1, 0]","[0.10465116279069764, 0.031712473572938826, -0.13636363636363602, 0.0]"
1,23,23,[],10,13,202000,202000,"['21', '23', '31']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1, 0]","[0.10465116279069775, 0.1453488372093028, -0.25, 0.0]"
2,32,32,[],10,15,203000,212000,"['21', '32', '31']","[0, 1, 1, 0]","[1, 1, 0, 0]","[1, 1, 0]","[0.06818181818181812, 0.0472027972027973, -0.11538461538461497, 0.0]"
1,12,12,[],10,9,213000,213000,"['12', '32', '31']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0]","[0.09999999999999964, 0.015384615384615108, -0.1153846153846152, 0.0]"
